user_id,user_name,screen_name,followers_count,description,verified,profile_image_default,protected,favourites_count,user_registration,bot,botoscore
789601550,b'Keith \xf0\x9f\x98\xb7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x8c\xaa\xef\xb8\x8f\xf0\x9f\x8e\x97\xef\xb8\x8f Lardie',krlcreep,1102,1,0,0,0,362885,29-08-2012,0,0.1
3262143763,b'\xd8\xa7\xd9\x85\xd8\xb1\xd9\x8a\xd9\x83\xd9\x87 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xa8\xd9\x8a\xd8\xb9\xd9\x8a / \xd9\x86\xd8\xa7\xd8\xb4\xd8\xb7\xd9\x87 \xd9\x88\xd8\xb7\xd9\x86\xd9\x8a\xd9\x87\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6',Umm_Mohammeed,2351,1,0,0,0,80189,30-06-2015,0,0.0
2576112944,b'vinci chou',vinci32096,10,1,0,0,0,181,19-06-2014,1,4.8
435445041,b'\xf0\x9f\x91\xbb \xf0\x9d\x95\x82\xf0\x9d\x95\x9a\xf0\x9d\x95\x9c\xf0\x9d\x95\x9a \xf0\x9d\x95\x8b\xf0\x9d\x95\x9a\xf0\x9d\x95\x9c\xf0\x9d\x95\x9a \xf0\x9d\x95\x8b\xf0\x9d\x95\x92\xf0\x9d\x95\xa7\xf0\x9d\x95\x9a',KikiTikiTavi,114,1,0,0,0,10477,13-12-2011,0,0.4
3918814516,b'Awaken Soul',melodyjaimie39,9,1,0,0,0,104,10-10-2015,0,0.4
32791867,b'Shadow the Edgehog \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88',metrostarshipp,91,0,0,0,0,20264,18-04-2009,0,0.2
634674494,b'Bruno Hon\xc3\xb3rio',_honorio2012,713,1,0,0,0,69,13-07-2012,1,2.9
818175294,b'Pamela Jacobson',khy1115,14,1,0,0,0,371,11-09-2012,1,5.0
728020310964895744,b'grandson',grandson,77574,1,0,0,0,5073,05-05-2016,0,0.2
537419092,b'mustafa asd',mustafaasd3,1,0,0,0,0,64,26-03-2012,1,3.6
419978586,b'Mimi',mimimonkeyy,646,1,0,0,0,66457,24-11-2011,0,0.0
157834629,b'\xf0\x9f\x98\x88',Kelseyf528,2310,0,0,0,0,34109,21-06-2010,0,1.6
2491702663,b'Paul Pogba',paulpogba,9618008,1,0,0,0,72,12-05-2014,0,0.4
2416205193,b'shay',stylesxmix,2471,1,0,0,0,65904,16-03-2014,0,0.4
3435945359,b'mine shaft sinking',ShaftSinking,168,1,0,0,0,46,22-08-2015,1,5.0
1394630035,b'TFBGM',BTLProduction,8,0,0,0,0,2200,01-05-2013,1,3.2
181165466,b'Kevin Li',RealKevinLi,0,0,0,0,0,490,21-08-2010,1,4.2
25451939,b'Kati',Freyis,6,0,0,0,0,354,20-03-2009,1,4.2
35413411,b'Kennedy',keepitkennedy,763,1,0,0,0,2419,26-04-2009,0,err
3382992304,b'emm',cestemm,162,1,0,0,0,8388,19-07-2015,0,err
1636326834,b'Kimlinh Tran',KimlinhTran,9184,1,0,0,0,12362,31-07-2013,0,0.1
